feature_name,accounts_using_feature_7d,churned_accounts,avg_usage_count,avg_duration_secs,avg_error_count,churn_rate
feature_1,4,1,7.0,1339.25,1.25,0.25
feature_10,5,2,10.8,1602.0,0.0,0.4
feature_11,6,2,10.0,4119.833333333333,0.0,0.3333333333333333
feature_12,14,3,9.428571428571429,2673.5714285714284,0.5714285714285714,0.21428571428571427
feature_13,7,0,9.428571428571429,3350.5714285714284,0.5714285714285714,0.0
feature_14,8,1,6.625,2457.375,0.375,0.125
feature_15,5,1,12.6,3403.4,0.6,0.2
feature_16,9,3,10.333333333333334,3689.5555555555557,0.1111111111111111,0.3333333333333333
feature_17,4,2,11.25,3878.75,0.75,0.5
feature_18,6,3,11.333333333333334,3699.6666666666665,0.3333333333333333,0.5
feature_19,8,4,10.0,4562.5,0.75,0.5
feature_2,7,2,11.714285714285714,3684.0,0.2857142857142857,0.2857142857142857
feature_20,11,2,11.818181818181818,4467.181818181818,0.09090909090909091,0.18181818181818182
feature_21,4,1,11.75,3016.0,0.5,0.25
feature_22,12,0,8.916666666666666,2729.4166666666665,0.6666666666666666,0.0
feature_23,5,1,11.6,5451.2,0.2,0.2
feature_24,5,2,8.0,3085.6,0.0,0.4
feature_25,9,1,9.0,2718.8888888888887,0.3333333333333333,0.1111111111111111
feature_26,10,3,11.0,2584.3,0.9,0.3
feature_27,5,2,9.0,2790.0,0.0,0.4
feature_28,2,2,10.5,5500.5,0.0,1.0
feature_29,3,2,10.333333333333334,4367.666666666667,0.6666666666666666,0.6666666666666666
feature_3,4,2,9.5,4136.25,0.75,0.5
feature_30,7,2,10.428571428571429,1803.5714285714287,0.7142857142857143,0.2857142857142857
feature_31,8,1,8.625,2051.75,0.25,0.125
feature_32,3,1,11.0,2941.0,0.0,0.3333333333333333
feature_33,7,0,10.0,3563.8571428571427,0.8571428571428571,0.0
feature_34,9,0,8.444444444444445,2877.8888888888887,0.5555555555555556,0.0
feature_35,9,2,9.555555555555555,2417.222222222222,1.0,0.2222222222222222
feature_36,4,1,10.5,3415.25,0.0,0.25
feature_37,7,3,8.857142857142858,2862.4285714285716,0.0,0.42857142857142855
feature_38,11,4,12.272727272727273,3752.818181818182,0.18181818181818182,0.36363636363636365
feature_39,5,2,9.833333333333334,2454.8333333333335,0.6666666666666666,0.4
feature_4,9,1,10.222222222222221,3599.222222222222,1.3333333333333333,0.1111111111111111
feature_40,5,2,11.8,3350.8,0.8,0.4
feature_5,4,0,8.5,1776.0,0.25,0.0
feature_6,6,0,9.333333333333334,4272.0,0.8333333333333334,0.0
feature_7,8,3,10.0,3075.25,0.25,0.375
feature_8,4,0,10.5,3114.25,0.5,0.0
feature_9,8,2,9.625,2555.25,0.0,0.25
