cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-02-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,
2023-03-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
2023-04-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,,,
2023-05-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9615384615384616,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,,,,
2023-06-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,,,,,
2023-07-01,1.0,1.0,1.0,1.0,0.9777777777777777,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8666666666666667,0.8444444444444444,,,,,,
2023-08-01,1.0,1.0,1.0,1.0,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9682539682539683,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9365079365079365,0.9365079365079365,,,,,,,
2023-09-01,1.0,1.0,0.9803921568627451,0.9411764705882353,0.9411764705882353,0.9019607843137255,0.8823529411764706,0.8627450980392157,0.8627450980392157,0.8431372549019608,0.8431372549019608,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.803921568627451,,,,,,,,
2023-10-01,1.0,1.0,1.0,0.9846153846153847,0.9692307692307692,0.9538461538461539,0.9384615384615385,0.9384615384615385,0.9384615384615385,0.9384615384615385,0.9384615384615385,0.9230769230769231,0.9230769230769231,0.9076923076923077,0.9076923076923077,,,,,,,,,
2023-11-01,1.0,1.0,0.9883720930232558,0.9767441860465116,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9418604651162791,0.9418604651162791,0.9418604651162791,0.9418604651162791,0.9069767441860465,0.8953488372093024,,,,,,,,,,
2023-12-01,1.0,1.0,0.989247311827957,0.989247311827957,0.978494623655914,0.978494623655914,0.978494623655914,0.978494623655914,0.967741935483871,0.967741935483871,0.956989247311828,0.946236559139785,0.9354838709677419,,,,,,,,,,,
2024-01-01,1.0,0.9805825242718447,0.970873786407767,0.9611650485436893,0.9320388349514563,0.9223300970873787,0.912621359223301,0.912621359223301,0.912621359223301,0.912621359223301,0.9029126213592233,0.8932038834951457,,,,,,,,,,,,
2024-02-01,1.0,1.0,0.9819819819819819,0.972972972972973,0.963963963963964,0.954954954954955,0.954954954954955,0.9459459459459459,0.9459459459459459,0.9279279279279279,0.918918918918919,,,,,,,,,,,,,
2024-03-01,1.0,1.0,1.0,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9863013698630136,0.9794520547945206,0.9726027397260274,0.9726027397260274,,,,,,,,,,,,,,
2024-04-01,1.0,1.0,0.9927007299270073,0.9927007299270073,0.9781021897810219,0.9781021897810219,0.9708029197080292,0.9708029197080292,0.9635036496350365,,,,,,,,,,,,,,,
2024-05-01,1.0,1.0,1.0,0.9880952380952381,0.9821428571428571,0.9702380952380952,0.9523809523809523,0.9464285714285714,,,,,,,,,,,,,,,,
2024-06-01,1.0,0.9940476190476191,0.9940476190476191,0.9821428571428571,0.9761904761904762,0.9702380952380952,0.9583333333333334,,,,,,,,,,,,,,,,,
2024-07-01,1.0,1.0,0.9861751152073732,0.9861751152073732,0.9769585253456221,0.967741935483871,,,,,,,,,,,,,,,,,,
2024-08-01,1.0,1.0,0.9905660377358491,0.9716981132075472,0.9575471698113207,,,,,,,,,,,,,,,,,,,
2024-09-01,1.0,0.9959677419354839,0.9879032258064516,0.9758064516129032,,,,,,,,,,,,,,,,,,,,
2024-10-01,1.0,0.9963369963369964,0.9743589743589743,,,,,,,,,,,,,,,,,,,,,
2024-11-01,1.0,0.9833333333333333,,,,,,,,,,,,,,,,,,,,,,
2024-12-01,1.0,,,,,,,,,,,,,,,,,,,,,,,
